model,model_macro_f1,ensemble_macro_f1,delta,ci_lower,ci_upper,p_value,p_value_holm,significant
bert,0.9611569266803932,0.9744087939008158,0.013180750156093005,0.010332144036187471,0.016183465636014326,0.0,0.0,True
bilstm,0.942814492424375,0.9744087939008158,0.03163959494149178,0.028063294658711692,0.03536754866423145,0.0,0.0,True
rule_based,0.8020198762998388,0.9744087939008158,0.1721295925108031,0.16446775772498579,0.17984995711530594,0.0,0.0,True
roberta,0.971736487352942,0.9744087939008158,0.0026382799756095414,0.0006116592940957657,0.00478402781629981,0.006,0.006,True
