model,benign_prec,PII_prec,financial_prec,confidential_prec
bert,0.4885869565217391,0.9923109782144383,0.45167064439140814,0.9418543740178104
roberta,0.25217391304347825,0.9910409556313993,0.5847817690227887,0.962011771000535
bilstm,0.40826521344232514,0.9744091735421619,0.5275261324041812,0.7733333333333333
rule_based,0.1142713314875409,0.8857286685124591,0.19242386106216963,0.4570853259501636
ensemble,0.42687559354226023,0.9928774928774928,0.6210008203445447,0.9635779325120514
